Camera,NS,EW,Orientation
Cam67,36-40,1-2,E
Cam57,31-35,1-2,E
Cam66,26-30,1-2,E
Cam54,21-25,1-2,E
Cam53,36-40,3-4,E
Cam3,31-35,3-4,E
Cam62,26-30,3-4,E
Cam60,21-25,3-4,E
Cam80,36-40,5-6,E
Cam63,31-35,5-6,E
Cam58,26-30,5-6,E
Cam83,21-25,5-6,E
Cam55,36-40,7-8,E
Cam86,31-35,7-8,E
Cam4,26-30,7-8,E
Cam16,21-25,7-8,E
Cam39,36-40,9-10,E
Cam46,31-35,9-10,E
Cam23,26-30,9-10,E
Cam17,21-25,9-10,E
Cam40,36-40,11-12,E
Cam44,31-35,11-12,E
Cam26,26-30,11-12,E
Cam28,21-25,11-12,E
Cam33,36-40,13-14,E
Cam43,31-35,13-14,E
Cam27,26-30,13-14,E
Cam35,21-25,13-14,E
Cam37,36-40,15-16,E
Cam38,31-35,15-16,E
Cam31,26-30,15-16,E
Cam18,21-25,15-16,E
Cam36,36-40,17-18,E
Cam13,31-35,17-18,E
Cam1,26-30,17-18,E
Cam19,21-25,17-18,E
Cam51,36-40,19-20,E
Cam47,31-35,19-20,E
Cam41,26-30,19-20,E
Cam45,21-25,19-20,E
Cam24,36-40,21-22,E
Cam22,31-35,21-22,E
Cam56,26-30,21-22,E
Cam15,21-25,21-22,E
Cam21,36-40,23-24,E
Cam48,31-35,23-24,E
Cam68,26-30,23-24,E
Cam59,21-25,23-24,E
Cam34,36-40,25-26,E
Cam9,31-35,25-26,E
Cam7,26-30,25-26,E
Cam50,21-25,25-26,E
Cam12,36-40,27-28,E
Cam14,31-35,27-28,E
Cam42,26-30,27-28,E
Cam30,21-25,27-28,E
Cam20,36-40,29-30,E
Cam10,31-35,29-30,E
Cam52,26-30,29-30,E
Cam5,21-25,29-30,E
Cam29,36-40,31-32,E
Cam11,31-35,31-32,E
Cam25,26-30,31-32,E
Cam8,21-25,31-32,E
Cam69,36-40,33-34,E
Cam70,31-35,33-34,E
Cam73,26-30,33-34,E
Cam72,21-25,33-34,E
Cam178,36-40,35-36,E
Cam177,31-35,35-36,E
Cam65,26-30,35-36,E
Cam71,21-25,35-36,E
Cam75,36-40,37-38,E
Cam85,31-35,37-38,E
Cam77,26-30,37-38,E
Cam2,21-25,37-38,E
Cam101,36-40,39-40,E
Cam103,31-35,39-40,E
Cam106,26-30,39-40,E
Cam32,21-25,39-40,E
Cam120,36-40,41-42,E
Cam109,31-35,41-42,E
Cam99,26-30,41-42,E
Cam6,21-25,41-42,E
Cam64,16-20,1-2,E
Cam79,11-15,1-2,E
Cam88,6-10,1-2,E
Cam49,1-5,1-2,E
Cam110,16-20,3-4,E
Cam158,11-15,3-4,E
Cam172,6-10,3-4,E
Cam82,1-5,3-4,E
Cam102,16-20,5-6,E
Cam111,11-15,5-6,E
Cam84,6-10,5-6,E
Cam159,1-5,5-6,E
Cam169,16-20,7-8,E
Cam117,11-15,7-8,E
Cam146,6-10,7-8,E
Cam171,1-5,7-8,E
Cam165,16-20,9-10,E
Cam78,11-15,9-10,E
Cam153,6-10,9-10,E
Cam152,1-5,9-10,E
Cam126,16-20,11-12,E
Cam114,11-15,11-12,E
Cam74,6-10,11-12,E
Cam148,1-5,11-12,E
Cam119,16-20,13-14,W
Cam61,11-15,13-14,E
Cam129,6-10,13-14,E
Cam76,1-5,13-14,E
Cam168,16-20,15-16,E
Cam130,11-15,15-16,E
Cam134,6-10,15-16,E
Cam81,1-5,15-16,E
Cam140,16-20,17-18,E
Cam161,11-15,17-18,E
Cam162,6-10,17-18,E
Cam179,1-5,17-18,W
Cam155,16-20,19-20,E
Cam147,11-15,19-20,E
Cam174,6-10,19-20,E
Cam138,1-5,19-20,E
Cam135,16-20,21-22,E
Cam133,11-15,21-22,E
Cam118,6-10,21-22,E
Cam131,1-5,21-22,E
Cam143,16-20,23-24,E
Cam164,11-15,23-24,E
Cam113,6-10,23-24,E
Cam150,1-5,23-24,E
Cam121,16-20,25-26,E
Cam145,11-15,25-26,E
Cam122,6-10,25-26,E
Cam180,1-5,25-26,E
Cam141,16-20,27-28,E
Cam136,11-15,27-28,E
Cam115,6-10,27-28,E
Cam144,1-5,27-28,E
Cam94,16-20,29-30,E
Cam137,11-15,29-30,E
Cam166,6-10,29-30,E
Cam123,1-5,29-30,E
Cam96,16-20,31-32,E
Cam149,11-15,31-32,E
Cam132,6-10,31-32,E
Cam154,1-5,31-32,E
Cam90,16-20,33-34,E
Cam151,11-15,33-34,E
Cam104,6-10,33-34,E
Cam91,1-5,33-34,E
Cam157,16-20,35-36,W
Cam98,11-15,35-36,E
Cam175,6-10,35-36,E
Cam156,1-5,35-36,E
Cam160,16-20,37-38,W
Cam125,11-15,37-38,E
Cam95,6-10,37-38,E
Cam93,1-5,37-38,E
Cam139,16-20,39-40,E
Cam89,11-15,39-40,E
Cam127,6-10,39-40,E
Cam142,1-5,39-40,E
Cam112,16-20,41-42,E
Cam116,11-15,41-42,E
Cam167,6-10,41-42,E
Cam87,1-5,41-42,E
Cam124,16-20,43-44,E
Cam105,11-15,43-44,E
Cam100,6-10,43-44,E
Cam128,1-5,43-44,E
Cam176,16-20,45-46,E
Cam173,11-15,45-46,E
Cam163,6-10,45-46,E
Cam170,1-5,45-46,E
Cam107,16-20,47-48,E
Cam108,11-15,47-48,E
Cam92,6-10,47-48,E
Cam97,1-5,47-48,E
